Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCA_028768405.1	ASM2876840v1	Micromonospora chalcea		1K05785M01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6861996	Complete Genome	2023-02-22		6861996	6861996							Illumina MiSeq	TIANJIN UNIVERSITY	PRJNA935417	SAMN33316578	6220	6113	44		Micromonospora	98.25	4.76
GCF_028768405.1	ASM2876840v1	Micromonospora chalcea		1K05785M01					GCF_028768405.1-RS_2024_03_27	6861996	Complete Genome	2023-02-22		6861996	6861996							Illumina MiSeq	TIANJIN UNIVERSITY	PRJNA935417	SAMN33316578	6224	6110	51		Micromonospora	98.25	4.76
GCA_900091525.1	IMG-taxon 2622736591 annotated assembly	Micromonospora matsumotoense		DSM 44100					Annotation submitted by DOE - JOINT GENOME INSTITUTE	7755577	Scaffold	2016-08-16	FMCU01	317110	317110								DOE - JOINT GENOME INSTITUTE	PRJEB14520	SAMN04488017	6712	6633		assembly from type material	Micromonospora	96.84	7.85
GCF_900091525.1	IMG-taxon 2622736591 annotated assembly	Micromonospora matsumotoense		DSM 44100					GCF_900091525.1-RS_2024_05_02	7755577	Scaffold	2016-08-16	FMCU01	317110	317110								DOE - JOINT GENOME INSTITUTE	PRJEB14520	SAMN04488017	6745	6498	176	assembly from type material	Micromonospora	96.84	7.85
GCA_000721705.1	ASM72170v1	Actinoplanes subtropicus		NRRL B-24665						11257336	Contig	2014-07-02	JOJL01	239119								Illumina	University of Illinois	PRJNA238534	SAMN02645318				assembly from type material	Actinoplanes	94.03	10.82
GCF_000721705.1	ASM72170v1	Actinoplanes subtropicus		NRRL B-24665					GCF_000721705.1-RS_2024_05_02	11257336	Contig	2014-07-02	JOJL01	239119								Illumina	University of Illinois	PRJNA238534	SAMN02645318	10462	10208	176	assembly from type material	Actinoplanes	94.03	10.82
GCA_900445005.1	58901_F01	Actinomadura madurae		NCTC11373					Annotation submitted by SC	10191271	Contig	2018-06-30	UAPP01	1416352									SC	PRJEB6403	SAMEA104338386	9355	9232			Actinomadura	92.79	9.39
GCF_900445005.1	58901_F01	Actinomadura madurae		NCTC11373					GCF_900445005.1-RS_2024_03_29	10191271	Contig	2018-06-30	UAPP01	1416352									SC	PRJEB6403	SAMEA104338386	9422	9210	106		Actinomadura	92.79	9.39
GCA_000231365.2	ASM23136v1	Fischerella thermalis JSC-11		JSC-11					Annotation submitted by DOE Joint Genome Institute	5380000	Contig	2011-10-21	AGIZ01	392142								454/Illumina	DOE Joint Genome Institute	PRJNA61093	SAMN02256526	4671	4627			Fischerella	98	0.27
GCF_000231365.1	ASM23136v1	Fischerella thermalis JSC-11		JSC-11					GCF_000231365.1-RS_2024_04_10	5380000	Contig	2011-10-21	AGIZ01	392142								454/Illumina	DOE Joint Genome Institute	PRJNA61093	SAMN02256526	4676	4436	186		Fischerella	98	0.27
GCA_000760695.4	ASM76069v4	Tolypothrix bouteillei VB521301		VB521301					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9949079	Scaffold	2020-04-06	JHEG04	1104795	9494340							Illumina HiSeq; Oxford Nanopore MinION	Indian Institute Of Chemical biology	PRJNA242379	SAMN09809659	8127	7675	355		Microchaetaceae	93.64	16.77
GCF_000760695.4	ASM76069v4	Tolypothrix bouteillei VB521301		VB521301					GCF_000760695.4-RS_2024_03_14	9949079	Scaffold	2020-04-06	JHEG04	1104795	9494340							Illumina HiSeq; Oxford Nanopore MinION	Indian Institute Of Chemical biology	PRJNA242379	SAMN09809659	8181	7922	164		Microchaetaceae	93.64	16.77
GCA_004217665.1	ASM421766v1	Candidatus Magnetaquicoccus inordinatus		UR-1						4143644	Scaffold	2019-02-20	RXIU01	12614	13993							Illumina HiSeq	Research Center of Biotechnology RAS	PRJNA509450	SAMN10581107					Alphaproteobacteria	89.53	6.42
GCF_004217665.1	ASM421766v1	Candidatus Magnetaquicoccus inordinatus		UR-1					GCF_004217665.1-RS_2024_03_31	4143644	Scaffold	2019-02-20	RXIU01	12614	13993							Illumina HiSeq	Research Center of Biotechnology RAS	PRJNA509450	SAMN10581107	3575	3494	38		Alphaproteobacteria	89.53	6.42
GCA_009914755.4	T2T-CHM13v2.0	Homo sapiens								3117275501	Complete Genome	2022-01-24		150617247	150617247								T2T Consortium	PRJNA559484	SAMN03255769							
GCF_009914755.1	T2T-CHM13v2.0	Homo sapiens							GCF_009914755.1-RS_2023_10	3117275501	Complete Genome	2022-01-24		150617247	150617247	0.9913643	0.9847605	0.0066037737	0.0017416546	0.0068940492	primates_odb10		T2T Consortium	PRJNA559484	SAMN03255769	58360	20077	16891				
GCA_001865855.1	ASM186585v1	Nocardia seriolae		EM150506					Annotation submitted by National Institute of Fisheries Science	8304518	Complete Genome	2016-11-03		8304518	8304518							PacBio	National Institute of Fisheries Science	PRJNA325707	SAMN05225369	7871	7794			Nocardia	96.27	5.18
GCF_001865855.1	ASM186585v1	Nocardia seriolae		EM150506					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8304518	Complete Genome	2016-11-03		8304518	8304518							PacBio	National Institute of Fisheries Science	PRJNA325707	SAMN05225369	7869	7571	219		Nocardia	96.27	5.18
GCA_018223685.1	ASM1822368v1	Nocardia seriolae		TL20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8298813	Complete Genome	2021-05-02		8298813	8298813							PacBio	Northwest A&F University,Shanxi, P.R. China	PRJNA723956	SAMN18838084	7791	7430	280		Nocardia	96.11	4.95
GCF_018223685.1	ASM1822368v1	Nocardia seriolae		TL20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8298813	Complete Genome	2021-05-02		8298813	8298813							PacBio	Northwest A&F University,Shanxi, P.R. China	PRJNA723956	SAMN18838084	7837	7516	240		Nocardia	96.11	4.95
GCA_031852375.1	ASM3185237v1	Nocardia seriolae		SDAT 0011					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8283842	Complete Genome	2023-09-24		8283842	8283842							Illumina NovaSeq	Liaocheng university	PRJNA1018129	SAMN37421633	7857	7545	231		Nocardia	96.3	5.04
GCF_031852375.1	ASM3185237v1	Nocardia seriolae		SDAT 0011					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8283842	Complete Genome	2023-09-24		8283842	8283842							Illumina NovaSeq	Liaocheng university	PRJNA1018129	SAMN37421633	7857	7545	231		Nocardia	96.3	5.04
GCA_033097305.1	ASM3309730v1	Nocardia seriolae		KGN1266					Annotation submitted by Pathology Division, Aquaculture Research Department, Fisheries Technology Institute, Japan Fisheries Research and Education Agency	8222513	Complete Genome	2023-07-26		8222513	8222513							BGI DNBseq; Nanopore GridION	Pathology Division, Aquaculture Research Department, Fisheries Technology Institute, Japan Fisheries Research and Education Agency	PRJDB15982	SAMD00623494	8132	8045			Nocardia	95.8	6.62
GCF_033097305.1	ASM3309730v1	Nocardia seriolae		KGN1266					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8222513	Complete Genome	2023-07-26		8222513	8222513							BGI DNBseq; Nanopore GridION	Pathology Division, Aquaculture Research Department, Fisheries Technology Institute, Japan Fisheries Research and Education Agency	PRJDB15982	SAMD00623494	7813	7345	386		Nocardia	95.8	6.62
GCA_030562925.1	ASM3056292v1	Nocardia seriolae		20230510					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8123106	Complete Genome	2023-08-01		8123106	8123106							Oxford Nanopore PromethION; DNBSEQ-T7	Guangxi Academy of Fishery Sciences	PRJNA998249	SAMN36701179	7668	7335	255		Nocardia	96.41	4.92
GCF_030562925.1	ASM3056292v1	Nocardia seriolae		20230510					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8123106	Complete Genome	2023-08-01		8123106	8123106							Oxford Nanopore PromethION; DNBSEQ-T7	Guangxi Academy of Fishery Sciences	PRJNA998249	SAMN36701179	7668	7335	255		Nocardia	96.41	4.92
GCA_033097325.1	ASM3309732v1	Nocardia seriolae		024013					Annotation submitted by Pathology Division, Aquaculture Research Department, Fisheries Technology Institute, Japan Fisheries Research and Education Agency	8113213	Complete Genome	2023-07-26		8113213	8113213							BGI DNBseq; Nanopore MinION	Pathology Division, Aquaculture Research Department, Fisheries Technology Institute, Japan Fisheries Research and Education Agency	PRJDB15982	SAMD00623495	7900	7815			Nocardia	96.27	5.24
GCF_033097325.1	ASM3309732v1	Nocardia seriolae		024013					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8113213	Complete Genome	2023-07-26		8113213	8113213							BGI DNBseq; Nanopore MinION	Pathology Division, Aquaculture Research Department, Fisheries Technology Institute, Japan Fisheries Research and Education Agency	PRJDB15982	SAMD00623495	7704	7379	247		Nocardia	96.27	5.24
GCA_037478025.1	ASM3747802v1	Nocardia seriolae		NS01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8104751	Complete Genome	2024-03-23		8104751	8104751							Illumina; PacBio	School of Animal Science and Technology, Yangtze University	PRJNA1084238	SAMN40276279	7674	7366	230		Nocardia	96.34	5.01
GCF_037478025.1	ASM3747802v1	Nocardia seriolae		NS01					GCF_037478025.1-RS_2024_04_05	8104751	Complete Genome	2024-04-05		8104751	8104751							Illumina; PacBio	School of Animal Science and Technology, Yangtze University	PRJNA1084238	SAMN40276279	7674	7366	230		Nocardia	96.34	5.01
GCA_023614255.1	ASM2361425v1	Actinomadura madurae		MRC008					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	10230156	Complete Genome	2022-05-31		10230156	10230156							Oxford Nanopore MinION; Illumina iSeq	Newcastle University	PRJNA782605	SAMN23388486	9664	9067	497		Actinomadura	90.05	9.25
GCF_023614255.1	ASM2361425v1	Actinomadura madurae		MRC008					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	10230156	Complete Genome	2022-05-31		10230156	10230156							Oxford Nanopore MinION; Illumina iSeq	Newcastle University	PRJNA782605	SAMN23388486	9708	9205	403		Actinomadura	90.05	9.25
GCA_023614275.1	ASM2361427v1	Actinomadura madurae		MRC005					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	10148230	Complete Genome	2022-05-31		10148230	10148230							Oxford Nanopore MinION; Illumina iSeq	Newcastle University	PRJNA782605	SAMN23388483	9716	9010	605		Actinomadura	85.05	8.26
GCF_023614275.1	ASM2361427v1	Actinomadura madurae		MRC005					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	10148230	Complete Genome	2022-05-31		10148230	10148230							Oxford Nanopore MinION; Illumina iSeq	Newcastle University	PRJNA782605	SAMN23388483	9792	9174	517		Actinomadura	85.05	8.26
GCA_001610855.1	ASM161085v1	Gemmata sp. SH-PL17		SH-PL17					Annotation submitted by NIOO-KNAW	9045424	Complete Genome	2016-04-05		9045424	9045424							PacBio RS II with P4-C2 chemistry	NIOO-KNAW	PRJNA277747	SAMN03417852	7816	7704			Planctomycetia	95.41	3.71
GCF_001610855.1	ASM161085v1	Gemmata sp. SH-PL17		SH-PL17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	9045424	Complete Genome	2016-04-05		9045424	9045424							PacBio RS II with P4-C2 chemistry	NIOO-KNAW	PRJNA277747	SAMN03417852	7661	7488	77		Planctomycetia	95.41	3.71
GCA_000316665.1	ASM31666v1	Rivularia sp. PCC 7116		PCC 7116					Annotation submitted by DOE Joint Genome Institute	8728773	Complete Genome	2012-12-04		8698463	8698463							454/Illumina	DOE Joint Genome Institute	PRJNA63147	SAMN02232049	6946	6644	236		Rivulariaceae	99.33	1.26
GCF_000316665.1	ASM31666v1	Rivularia sp. PCC 7116		PCC 7116					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8728773	Complete Genome	2012-12-04		8698463	8698463							454/Illumina	DOE Joint Genome Institute	PRJNA63147	SAMN02232049	6774	6586	120		Rivulariaceae	99.33	1.26
GCA_011769525.1	ASM1176952v1	Tolypothrix sp. PCC 7910		PCC 7910					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8761534	Complete Genome	2020-03-30		8479123	8479123							PacBio	Chungnam National Univ.	PRJNA610494	SAMN14299416	7072	6701	256		Microchaetaceae	96.19	7.16
GCF_011769525.1	ASM1176952v1	Tolypothrix sp. PCC 7910		PCC 7910					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8761534	Complete Genome	2020-03-30		8479123	8479123							PacBio	Chungnam National Univ.	PRJNA610494	SAMN14299416	7087	6807	165		Microchaetaceae	96.19	7.16
GCA_018852615.2	Q100 hg002v1.0.1.mat	Homo sapiens					NA24385	male		3051525517	Chromosome	2023-12-14		154341406	154341406							PacBio Sequel	UCSC Genomics Institute	PRJNA727431	SAMN03283347							
GCA_018852605.2	Q100 hg002v1.0.1.pat	Homo sapiens					NA24385	male		2947873327	Chromosome	2023-12-13		146786846	146786846							PacBio Sequel	UCSC Genomics Institute	PRJNA727430	SAMN03283347							
GCA_014117305.1	ASM1411730v1	Nocardia seriolae		MH196537						8262537	Chromosome	2020-08-09		8262437	8262537							PacBio	Pukyong national university	PRJNA649056	SAMN15656457					Nocardia	96.13	5.04
GCF_014117305.1	ASM1411730v1	Nocardia seriolae		MH196537					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8262537	Chromosome	2020-08-09		8262437	8262537							PacBio	Pukyong national university	PRJNA649056	SAMN15656457	7836	7514	241		Nocardia	96.13	5.04
GCA_015209825.1	ASM1520982v1	Nocardia seriolae		NK201610020					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8310375	Chromosome	2020-11-03		4999276	8310375							Illumina HiSeq; PacBio	Pearl River Fisheries Research Institute	PRJNA668871	SAMN16425486	7784	7352	352		Nocardia	96.1	5.04
GCF_015209825.1	ASM1520982v1	Nocardia seriolae		NK201610020					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8310375	Chromosome	2020-11-03		4999276	8310375							Illumina HiSeq; PacBio	Pearl River Fisheries Research Institute	PRJNA668871	SAMN16425486	7873	7545	248		Nocardia	96.1	5.04
GCA_011064465.2	Ash1_v2.2	Homo sapiens					NA24385	male	Annotation submitted by Johns Hopkins University	3125421876	Chromosome	2022-06-02	JAAKGM02	150154455	150154455							Illumina HiSeq; Oxford Nanopore; PacBio	Johns Hopkins University	PRJNA607914	SAMN03283347	37714	19649					
GCA_018873775.2	hg01243.v3.0	Homo sapiens					HG01243	male	Annotation submitted by Johns Hopkins University	3116153243	Chromosome	2021-09-27	JAHLSK02	149697505	149697505							Illumina NovaSeq; Oxford Nanopore; PacBio Sequel; PacBio HiFi	Johns Hopkins University	PRJNA730525	SAMN13957917	37873	19696					
GCA_024586135.1	Han1	Homo sapiens					HG00621	male		3104992915	Chromosome	2022-08-09	JANJEX01	148018047	148018047							PacBio Sequel; Oxford Nanopore PromethION	Johns Hopkins University	PRJNA863267	SAMN17861653							
GCA_037177555.1	ASM3717755v1	Homo sapiens					KSA001	female		3032169569	Chromosome	2024-03-18	JAYKMC01	133706131	153473417							PacBio Sequel	King Abdullah University of Science and Technology	PRJNA1042629	SAMN31309271							
GCA_037177635.1	ASM3717763v1	Homo sapiens					KSA001	female		3026057971	Chromosome	2024-03-18	JAYKMB01	96480592	154369205							PacBio Sequel	King Abdullah University of Science and Technology	PRJNA1042628	SAMN31309271							
GCA_021950905.1	HG002.pat.cur.20211005	Homo sapiens					NA24385	male		2959277077	Chromosome	2022-02-04	JAKCWS01	84927121	146747882							PacBio Sequel	Human Pangenome Reference Consortium	PRJNA794172	SAMN03283347							
GCA_037575895.1	UW_CHM1_v1.0	Homo sapiens					CHM1			2982104557	Chromosome	2024-03-27	JASMMY01	81061439	81061439							PacBio; Oxford Nanopore PromethION	University of Washington School of Medicine	PRJNA975207	SAMN02744161							
GCA_021951015.1	HG002.mat.cur.20211005	Homo sapiens					NA24385	male		3061735012	Chromosome	2022-02-04	JAKCWR01	62879740	154412560							PacBio Sequel	Human Pangenome Reference Consortium	PRJNA794175	SAMN03283347							
GCA_002180035.3	HG00514_prelim_3.0	Homo sapiens					HG00514	female		3094330096	Chromosome	2018-05-22	NIOH01	29396877	89384495							PacBio RSII	The Genome Institute at Washington University School of Medicine	PRJNA300843	SAMN04229552							
GCA_001524155.4	NA19240_prelim_3.0	Homo sapiens					NA19240	female		3088495238	Chromosome	2017-07-19	LKPB02	29140631	89467683							PacBio	The Genome Institute at Washington University School of Medicine	PRJNA288807	SAMN03838746							
GCA_003634875.1	HG00733_Phased_Diploid	Homo sapiens					HG00733	female		2893174212	Chromosome	2018-10-19	RBJD01	26292878	152514555							PacBio Sequel; Illumina HiSeq HiC	Pacific Biosciences	PRJNA483067	SAMN10182268							
GCA_020497115.1	PGP1v1	Homo sapiens					PGP1	male		3016802955	Chromosome	2021-10-14	JAHRGN01	24698710	141933136							Oxford Nanopore PromethION; PacBio Sequel II HiFi; Illumina NovaSeq	Ulsan National Institute of Science and Technology	PRJNA734849	SAMN19546685							
GCA_014905855.1	ASM1490585v1	Homo sapiens								3085766330	Chromosome	2020-09-26		23601496	141953703							PacBio RSII; Bionano; Illumina HiSeq	Tohoku University Advanced Research Institute for Innovations in Next-Generation Medicine	PRJDB10452	SAMD00243993							
GCA_020497085.1	KOREF_S1v2.1	Homo sapiens					KOREF_S1	male		2901817378	Chromosome	2021-10-14	JAHRJT01	20046962	150051441							Oxford Nanopore PromethION; PacBio Sequel II HiFi; Illumina HiSeq	Ulsan National Institute of Science and Technology	PRJNA735947	SAMN19605030							
GCA_002077035.3	NA12878_prelim_3.0	Homo sapiens					NA12878	female		3088210890	Chromosome	2018-02-09	NBMU01	16821028	89003101							PacBio RSII	The Genome Institute at Washington University School of Medicine	PRJNA323611	SAMN05181962							
GCA_016700455.2	mHomSap3.pat	Homo sapiens					mHomSap3	male		2744463177	Chromosome	2021-01-19	JACSEW01	13671004	142230338							PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA562022	SAMN12568975							
GCA_016695395.2	mHomSap3.mat	Homo sapiens					mHomSap3	male		2902197670	Chromosome	2021-01-19	JACSEX01	12076592	150534096							PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA562023	SAMN12568975							
GCA_015476435.1	HC1-N	Homo sapiens					HCC1_normal	male		2953486705	Chromosome	2020-11-16	JABWGK01	5215207	141840420							PacBio Sequel; Illumina NovaSeq	Frasergen Bioinformatics Inc	PRJNA626369	SAMN14638796							
GCA_022833125.2	ASM2283312v2	Homo sapiens							Annotation submitted by Celera Genomics	3147488104	Chromosome	2005-09-08	AADB02	608771	31321926								Celera Genomics	PRJNA1431	SAMN02981219	32557	28801	3755				
GCA_001292825.2	HS1011_v1.1	Homo sapiens					CMT-001	male		2872295476	Chromosome	2015-11-12	LIQK02	373039	74315606							Illumina; PacBio (RS and RSII)	Baylor College of Medicine	PRJNA203659	SAMN00009513							
GCA_000252825.1	HuRef diploid	Homo sapiens						male		3036778166	Chromosome	2008-09-24	ABBA01	98388	15540354								J. Craig Venter Institute	PRJNA19621	SAMN02981236							
GCA_000212995.1	HuRefPrime	Homo sapiens						male		3036778166	Chromosome	2008-09-24	ABSL01	98388	15540354								J. Craig Venter Institute	PRJNA19621	SAMN02981236							
GCA_001712695.1	KOREF1.0	Homo sapiens					KOREF	male		2944055311	Chromosome	2016-09-20	LWKW01	47865	25272253							Illumina HiSeq; PacBio	Genome Research Foundation	PRJNA294231	SAMN04018081							
GCA_921998315.2	DBA_2J_v3	Mus musculus								2603156777	Chromosome	2022-07-01	CAKLHQ02	49659417	130880718								EMBL-EBI, WELLCOME TRUST GENOME CAMPUS, CAMBRIDGE	PRJEB47108	SAMEA9544177							
GCA_030265425.1	NEI_Mmus_1.0	Mus musculus		B10.RIII				female		2790916468	Chromosome	2023-06-13	JASNTV01	40804356	144428894							PacBio Sequel II; Bionano Saphyr; Illumina NovaSeq	National Eye Institute	PRJNA814472	SAMN26583198							
GCA_949316315.1	mMusMuc1.1	Mus musculus								2770952436	Chromosome	2023-04-08	CASGGP01	39533248	132150484							PacBio,OmniC	WELLCOME SANGER INSTITUTE	PRJEB60144	SAMEA112251260							
GCA_031763685.1	NOD_SCID	Mus musculus		NOD/SCID				female		2717934897	Chromosome	2023-09-22	JARLJY01	36353998	121827883							PacBio Sequel; Bionano	JSR Life Sciences	PRJNA944543	SAMN33781945							
GCA_921997145.2	BALB_cJ_v3	Mus musculus								2519896772	Chromosome	2022-07-01	CAKLHK02	35826829	127177172								EMBL-EBI, WELLCOME TRUST GENOME CAMPUS, CAMBRIDGE	PRJEB47108	SAMEA9544181							
GCA_947593165.1	NZO_HlLtJ_v3	Mus musculus								2822905246	Chromosome	2022-12-18	CANQFN01	32925788	137857036							Pacbio	EMBL-EBI, WELLCOME TRUST GENOME CAMPUS, CAMBRIDGE	PRJEB47108	SAMEA9544188							
GCA_031761455.1	BALBC_Nude	Mus musculus		BALB/c Nude				female		2754161322	Chromosome	2023-09-22	JARJHH01	30118904	101020256							PacBio Sequel; Bionano	JSR Life Sciences	PRJNA944543	SAMN33748820							
GCA_947599735.1	LP_J_v3	Mus musculus								2856310111	Chromosome	2022-12-18	CANQGI01	21715937	134505790							Pacbio	EMBL-EBI, WELLCOME TRUST GENOME CAMPUS, CAMBRIDGE	PRJEB47108	SAMEA9544186							
GCA_921998355.2	A_J_v3	Mus musculus								2528244766	Chromosome	2022-06-30	CAKLHP02	16959821	127192181								EMBL-EBI, WELLCOME TRUST GENOME CAMPUS, CAMBRIDGE	PRJEB47108	SAMEA9544179							
GCA_921998905.2	CBA_J_v3	Mus musculus								2520486995	Chromosome	2022-06-30	CAKLHN02	12206296	126990816								EMBL-EBI, WELLCOME TRUST GENOME CAMPUS, CAMBRIDGE	PRJEB47108	SAMEA9544184							
GCA_921997125.2	C3H_HeJ_v3	Mus musculus								2532421144	Chromosome	2022-07-01	CAKLHI02	8562414	127227482								EMBL-EBI, WELLCOME TRUST GENOME CAMPUS, CAMBRIDGE	PRJEB47108	SAMEA9544182							
GCA_921999865.2	C57BL_6NJ_v3	Mus musculus								2514593528	Chromosome	2022-07-01	CAKLHV02	8304515	126851431								EMBL-EBI, WELLCOME TRUST GENOME CAMPUS, CAMBRIDGE	PRJEB47108	SAMEA9544183							
GCA_921998325.2	NOD_ShiLtJ_v3	Mus musculus								2517347543	Chromosome	2022-07-01	CAKLHO02	6749549	127269091								EMBL-EBI, WELLCOME TRUST GENOME CAMPUS, CAMBRIDGE	PRJEB47108	SAMEA9544187							
GCA_921998555.2	129S1_SvImJ_v3	Mus musculus								2516247871	Chromosome	2022-07-01	CAKLHM02	5000807	126792426								EMBL-EBI, WELLCOME TRUST GENOME CAMPUS, CAMBRIDGE	PRJEB47108	SAMEA9544178							
GCA_921998335.2	PWK_PhJ_v3	Mus musculus musculus								2507108059	Chromosome	2022-07-01	CAKLHR02	26698258	126992800								EMBL-EBI, WELLCOME TRUST GENOME CAMPUS, CAMBRIDGE	PRJEB47108	SAMEA9544189							
GCA_921999095.2	JF1_MsJ_v3	Mus musculus molossinus								2727417884	Chromosome	2022-07-01	CAKLHU02	14400882	133124609								EMBL-EBI, WELLCOME TRUST GENOME CAMPUS, CAMBRIDGE	PRJEB47108	SAMEA9544190							
